DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\_reqs.py first seen with mtime 1734813769.4852085
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\aiosignal\__init__.py first seen with mtime 1734847364.6913965
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1734895446.3271866
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1734895446.3991508
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1734813898.158695
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\djongo\sql2mongo\sql_tokens.py first seen with mtime 1734895452.37294
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\cursor_manager.py first seen with mtime 1734821621.7274878
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1734895446.3331566
DEBUG 2024-12-24 14:43:00,360 autoreload File C:\Users\vishn\anaconda3\Lib\zipfile.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,360 autoreload File C:\Users\vishn\anaconda3\Lib\uuid.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\collection.py first seen with mtime 1734821621.7264888
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1734895446.1350808
DEBUG 2024-12-24 14:43:00,360 autoreload File C:\Users\vishn\anaconda3\Lib\asyncio\trsock.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1734895446.3870938
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\server_description.py first seen with mtime 1734821621.7364872
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\idna\package_data.py first seen with mtime 1734813897.1421869
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\djongo\base.py first seen with mtime 1734895452.3676417
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\edns.py first seen with mtime 1734813897.387173
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\errors.py first seen with mtime 1734821621.7294877
DEBUG 2024-12-24 14:43:00,360 autoreload File E:\price_patrol\venv\Lib\site-packages\aiofiles\tempfile\__init__.py first seen with mtime 1734847363.493795
